networkx_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_dict_directed,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_dict_multigraph,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_dict_undirected,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_directed,0.5,2,1,['array' 'testing.assert_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_float,0.5,2,1,['testing.assert_equal' 'array'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_multigraph,0.5,2,1,['testing.assert_equal' 'array'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_negative,0.5,2,1,['array' 'testing.assert_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_attribute_mixing_matrix_undirected,0.5,2,1,['array' 'testing.assert_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_dict_directed,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_dict_multigraph,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_dict_undirected,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_dict_undirected_normalized,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_dict_weighted,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_directed,0.5,2,1,['testing.assert_equal' 'array'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_mapping,0.5,2,1,['array' 'testing.assert_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_multigraph,0.5,2,1,['testing.assert_equal' 'array'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_selfloop,0.5,2,1,['testing.assert_equal' 'array'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_undirected,0.5,2,1,['testing.assert_equal' 'array'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_weighted,0.5,2,1,['array' 'testing.assert_equal'],['pdarraycreation.array']
/algorithms/assortativity/tests/test_neighbor_degree.py_test_degree_barrat,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_neighbor_degree.py_test_degree_k4,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_neighbor_degree.py_test_degree_k4_nodes,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_neighbor_degree.py_test_degree_p4,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_neighbor_degree.py_test_degree_p4_weighted,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_neighbor_degree.py_test_error_invalid_source_target,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_attribute_xy_directed,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_attribute_xy_multigraph,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_attribute_xy_selfloop,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_attribute_xy_undirected,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_attribute_xy_undirected_nodes,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_degree_xy_directed,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_degree_xy_multigraph,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_degree_xy_selfloop,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_degree_xy_undirected,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_degree_xy_undirected_nodes,1.0,0,0,[],[]
/algorithms/assortativity/tests/test_pairs.py_test_node_degree_xy_weighted,1.0,0,0,[],[]
/algorithms/asteroidal.py_create_component_structure,1.0,0,0,[],[]
/algorithms/asteroidal.py_find_asteroidal_triple,1.0,0,0,[],[]
/algorithms/asteroidal.py_is_at_free,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_color,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_degrees,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_density,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_is_bipartite,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_is_bipartite_node_set,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_neighbors,1.0,0,0,[],[]
/algorithms/bipartite/basic.py_sets,1.0,0,0,[],[]
/algorithms/bipartite/centrality.py_betweenness_centrality,1.0,0,0,[],[]
/algorithms/bipartite/centrality.py_closeness_centrality,1.0,0,0,[],[]
/algorithms/bipartite/centrality.py_degree_centrality,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py__four_cycles,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py__threepaths,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py_average_clustering,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py_cc_dot,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py_cc_max,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py_cc_min,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py_latapy_clustering,1.0,0,0,[],[]
/algorithms/bipartite/cluster.py_robins_alexander_clustering,1.0,0,0,[],[]
/algorithms/bipartite/covering.py_min_edge_cover,1.0,0,0,[],[]
/algorithms/bipartite/edgelist.py_generate_edgelist,1.0,0,0,[],[]
/algorithms/bipartite/edgelist.py_parse_edgelist,1.0,0,0,[],[]
