scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/signal/tests/test_short_time_fft.py_test_x_slices_padding,1.0,3,3,['array' 'ones' 'ones'],"['pdarraycreation.array' 'pdarraycreation.ones'
 'array_api._creation_functions.ones']"
/signal/tests/test_signaltools.py__setup_rank1,0.6,5,3,['random.randn' 'linspace' 'linspace' 'random.seed' 'array'],"['pdarraycreation.linspace' 'array_api._creation_functions.linspace'
 'pdarraycreation.array']"
/signal/tests/test_signaltools.py__setup_rank3,1.0,2,2,['linspace' 'linspace'],['array_api._creation_functions.linspace' 'pdarraycreation.linspace']
/signal/tests/test_signaltools.py__test_phaseshift,0.69,13,9,"['sum' 'newaxis' 'ones_like' 'ones_like' 'array' 'arange' 'arange' 'sum'
 'abs' 'angle' 'exp' 'exp' 'pi']","['pdarrayclass.sum' 'array_api._creation_functions.ones_like'
 'pdarraycreation.ones_like' 'pdarraycreation.array'
 'array_api._creation_functions.arange' 'pdarraycreation.arange'
 'array_api._statistical_functions.sum'
 'array_api._elementwise_functions.exp' 'numeric.exp']"
/signal/tests/test_signaltools.py_apply,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_assert_allclose_cast,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_signaltools.py_assert_rp_almost_equal,0.5,2,1,['hypot' 'asarray'],['array_api._creation_functions.asarray']
/signal/tests/test_signaltools.py_base_bad_size_zi,1.0,0,0,[],[]
/signal/tests/test_signaltools.py_check_filtfilt_gust,0.4,5,2,['empty_like' 'random.seed' 'random.randn' 'empty' 'swapaxes'],"['array_api._creation_functions.empty_like'
 'array_api._creation_functions.empty']"
/signal/tests/test_signaltools.py_convert_dtype,0.8,5,4,['array' 'nditer' 'dtype' 'asarray' 'empty'],"['pdarraycreation.array' 'dtypes.dtype'
 'array_api._creation_functions.asarray'
 'array_api._creation_functions.empty']"
/signal/tests/test_signaltools.py_decimal,0.0,3,0,['finfo' 'clongdouble' 'cdouble'],[]
