,index,function_np,total_np_calls,num_pandas_funs_used_by,used_by_pandas,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
529,878,distutils.system_info.get_info,,,,get_info,numpy.distutils.system_info.get_info,https://numpy.org/doc/stable/reference/generated/numpy.distutils.system_info.get_info.html,,,,False
530,879,distutils.system_info.get_standard_file,,,,get_standard_file,numpy.distutils.system_info.get_standard_file,https://numpy.org/doc/stable/reference/generated/numpy.distutils.system_info.get_standard_file.html,,,,False
531,880,ma.dot,,,,dot,numpy.ma.dot,https://numpy.org/doc/stable/reference/generated/numpy.ma.dot.html,,,,False
532,881,dsplit,,,,dsplit,numpy.dsplit,https://numpy.org/doc/stable/reference/generated/numpy.dsplit.html,,,,False
533,882,dstack,,,,dstack,numpy.dstack,https://numpy.org/doc/stable/reference/generated/numpy.dstack.html,,,,False
534,883,ma.dstack,,,,dstack,numpy.ma.dstack,https://numpy.org/doc/stable/reference/generated/numpy.ma.dstack.html,,,,False
535,884,generic.dtype,,,,dtype,numpy.generic.dtype,https://numpy.org/doc/stable/reference/generated/numpy.generic.dtype.html,arkouda.dtypes.dtype,dtypes.dtype,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.dtype,True
536,885,ma.ediff1d,,,,ediff1d,numpy.ma.ediff1d,https://numpy.org/doc/stable/reference/generated/numpy.ma.ediff1d.html,,,,False
537,886,einsum,,,,einsum,numpy.einsum,https://numpy.org/doc/stable/reference/generated/numpy.einsum.html,,,,False
538,887,einsum_path,,,,einsum_path,numpy.einsum_path,https://numpy.org/doc/stable/reference/generated/numpy.einsum_path.html,,,,False
539,888,emath.log,,,,log,numpy.emath.log,https://numpy.org/doc/stable/reference/generated/numpy.emath.log.html,arkouda.numeric.log,numeric.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log,True
540,889,emath.log,,,,log,numpy.emath.log,https://numpy.org/doc/stable/reference/generated/numpy.emath.log.html,arkouda.array_api._elementwise_functions.log,array_api._elementwise_functions.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log,True
541,890,emath.log10,,,,log10,numpy.emath.log10,https://numpy.org/doc/stable/reference/generated/numpy.emath.log10.html,arkouda.numeric.log10,numeric.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log10,True
542,891,emath.log10,,,,log10,numpy.emath.log10,https://numpy.org/doc/stable/reference/generated/numpy.emath.log10.html,arkouda.array_api._elementwise_functions.log10,array_api._elementwise_functions.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log10,True
543,892,emath.log2,,,,log2,numpy.emath.log2,https://numpy.org/doc/stable/reference/generated/numpy.emath.log2.html,arkouda.numeric.log2,numeric.log2,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log2,True
544,893,emath.log2,,,,log2,numpy.emath.log2,https://numpy.org/doc/stable/reference/generated/numpy.emath.log2.html,arkouda.array_api._elementwise_functions.log2,array_api._elementwise_functions.log2,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log2,True
545,894,emath.logn,,,,logn,numpy.emath.logn,https://numpy.org/doc/stable/reference/generated/numpy.emath.logn.html,,,,False
